number,value,datetime_start,datetime_complete,duration,params_attention_heads,params_colonization_expert_weight,params_colonization_threshold,params_colonization_weight,params_coord_embed_base,params_decline_expert_weight,params_decline_threshold,params_decline_weight,params_dropout_rate,params_hidden_dim_1_base,params_hidden_dim_2_base,params_hidden_dim_3_base,params_jump_expert_weight,params_jump_threshold,params_jump_weight,params_learning_rate,params_pde_expert_weight,params_pde_weight,params_weight_decay,state
35,455.6347156347456,2025-04-12 20:25:01.476047,2025-04-13 01:20:41.932043,0 days 04:55:40.455996,7,0.7541452275573163,0.09013977416146024,5.928024169633634,5,0.5538237027877302,48.2691784126592,7.77387288585534,0.27597557890710783,20,10,5,0.5921601406242664,105.49756416518184,9.033386996012633,0.0005640818492501249,0.5465091180515518,5.246823877412233,3.2823379086679386e-07,COMPLETE
36,507.2161983008698,2025-04-12 20:25:01.490906,2025-04-13 01:33:41.560608,0 days 05:08:40.069702,7,0.8184896864351245,0.07054066947574746,6.989012511530387,2,0.5538237027877302,45.817609512092986,9.696476234629328,0.3760988294276581,21,12,5,0.5799138279781731,168.30424026902162,9.25627393032291,0.0005635083199727862,0.43719334569850343,4.9636868533621135,3.167977710807728e-06,COMPLETE
37,597.0786165382808,2025-04-12 20:25:01.505680,2025-04-13 01:38:36.978745,0 days 05:13:35.473065,8,0.8704175535192646,0.08831651881477984,5.901844814134637,3,0.5538237027877302,36.96976531325694,8.477588318493586,0.11789511285498841,14,11,5,0.5357346083222562,146.55691049357353,9.25627393032291,0.0007769146235201488,0.4960266332554615,2.0782176795602387,1.2479648873912646e-06,COMPLETE
38,684.853560014119,2025-04-12 20:25:01.520258,2025-04-13 01:42:29.837879,0 days 05:17:28.317621,7,0.7541452275573163,0.05170650813531409,5.901844814134637,4,0.8967194304459591,92.59415376510128,7.543955610073618,0.2644595836079768,29,7,7,0.7127533549443065,117.65988254295556,9.25627393032291,0.0001525342151796965,0.5525557718345222,5.458631749047563,5.519940264962001e-07,COMPLETE
39,454.3005861174608,2025-04-12 20:25:01.535144,2025-04-13 01:51:16.764031,0 days 05:26:15.228887,5,0.7295314110948663,0.06527563181890575,6.989012511530387,3,0.5538237027877302,54.75139238537941,6.165316929407728,0.2202259292197384,32,10,3,0.66326627883052,72.52666492321353,8.348082202476842,0.000975269172559425,0.4960266332554615,5.458631749047563,1.7542289155399155e-07,COMPLETE
40,522.7120255762137,2025-04-12 20:25:01.549742,2025-04-13 02:01:27.555623,0 days 05:36:26.005881,6,0.6907888518856979,0.0654965702784158,6.926514721614374,3,0.5538237027877302,54.93574663211819,6.049525717408411,0.3344620298811247,20,10,3,0.6918795674926936,66.76837137075216,8.21894581152554,0.0009955972630084908,0.4960266332554615,6.859700837217408,1.7093085674933333e-07,COMPLETE
41,434.3051695935666,2025-04-12 20:25:01.564658,2025-04-13 02:10:35.213973,0 days 05:45:33.649315,5,0.7208994713160737,0.06596734906498336,5.928024169633634,3,0.607377402775023,48.46219299102934,6.475285192643186,0.22213260863629833,32,10,3,0.662822157631647,94.98987407274906,9.382639518559367,0.0007408004255050807,0.44838537086313923,4.1410380240485924,3.669295333437519e-07,COMPLETE
42,609.8475418020384,2025-04-12 20:25:01.579658,2025-04-13 02:15:09.391156,0 days 05:50:07.811498,5,0.7588012737677141,0.06577138948839542,5.9089176446298035,3,0.5143758376894166,48.95941568285267,6.429835772796372,0.2235166506973286,30,10,2,0.6589393822976288,97.15390245984486,7.877280899254818,0.00047450303910201224,0.4454828185711195,4.398551566908751,1.5827399076088517e-07,COMPLETE
43,490.77699129731,2025-04-12 20:25:01.595235,2025-04-13 02:23:15.624147,0 days 05:58:14.028912,5,0.7372945742255218,0.07913161403562244,5.227881984060138,2,0.6076836242657742,56.98756691373163,7.38924398128121,0.2518217022705304,23,9,3,0.7330090564865744,75.13340298191125,9.326296560149968,0.0008249716907924396,0.4454828185711195,4.398551566908751,3.0053945277008476e-07,COMPLETE
44,493.7229999348196,2025-04-12 20:25:01.611246,2025-04-13 02:36:13.768731,0 days 06:11:12.157485,5,0.7087421357087137,0.08831651881477984,8.771910969203143,3,0.5661320811332193,41.263290153811724,5.654851322769613,0.2202259292197384,18,11,3,0.6274297080164121,97.15390245984486,8.706294835697909,0.0006518836986995051,0.5083932261099885,4.398551566908751,3.828794200724188e-07,COMPLETE
45,501.0201805522034,2025-04-12 20:25:01.626760,2025-04-13 02:50:37.907930,0 days 06:25:36.281170,5,0.7087421357087137,0.08831651881477984,8.771910969203143,3,0.5661320811332193,41.263290153811724,5.654851322769613,0.2202259292197384,18,11,3,0.6274297080164121,97.15390245984486,8.706294835697909,0.0006518836986995051,0.5083932261099885,4.398551566908751,3.828794200724188e-07,COMPLETE
46,458.6228634795284,2025-04-12 20:25:01.642122,2025-04-13 03:03:37.997423,0 days 06:38:36.355301,6,0.6628293579841573,0.06458891561589519,6.786088900337827,2,0.6076836242657742,48.95941568285267,6.429835772796372,0.19992539787943103,30,12,4,0.6589393822976288,51.976509869501044,7.618537596916393,0.00039239680592906826,0.5433773140187237,2.855615067726592,1.0558986769579436e-07,COMPLETE
47,447.9867514092525,2025-04-12 20:25:01.657918,2025-04-13 03:21:13.983901,0 days 06:56:12.325983,7,0.6301439991885139,0.06458891561589519,6.808407996243668,4,0.6077996303151854,31.17477642026585,8.045718128804268,0.18014146583404325,30,15,2,0.6584993385465457,51.976509869501044,6.855314552684314,0.0005225466473316279,0.46329422955326327,3.207520120963079,1.0894704744294381e-07,COMPLETE
48,454.07124222335403,2025-04-12 20:25:01.673457,2025-04-13 03:38:48.176548,0 days 07:13:46.503091,7,0.6301439991885139,0.050724759795589824,8.331460121888139,5,0.6750348685071612,26.569413817923465,8.045718128804268,0.29803987408005506,30,14,2,0.676562231234317,56.482146381182105,6.855314552684314,0.0005225466473316279,0.46329422955326327,3.0423463852770722,2.254055611523305e-07,COMPLETE
49,599.8887071764751,2025-04-12 20:25:01.689366,2025-04-13 03:43:22.507220,0 days 07:18:20.817854,8,0.5985262240625665,0.050397117283315064,9.71021188101414,4,0.6750348685071612,24.117476277247338,8.498739833464148,0.4208799472720689,32,14,2,0.7045201945571028,57.72705158933272,6.607950076147073,0.0002629251744170693,0.4053031283422131,3.335109837496026,2.173856786640664e-07,COMPLETE
